leftarmx;leftarmy;leftarmz;leftarmw;leftforearmx;leftforearmy;leftforearmz;leftforearmw;lefthandx;lefthandy;lefthandz;lefthandw
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
-0,2377802;0,08281824;0,35606;0,8999017;-2,704557E-06;0,906736;2,592798E-06;0,421699;0,4176537;-0,627133;-0,6346462;0,1717372
